macula_greek_id	clear_engine_id
	40003014003
n40003014004	40003014005
n40003014005	40003014006
n40003014006	40003014007
n40003014007	40003014008
n40003014008	40003014009
n40003014009	40003014010
n40003014010	40003014011
n40003014011	40003014012
n40003014012	40003014013
n40003014013	40003014014
n40003014014	40003014015
n40003014015	40003014016
n40003014016	40003014017
n40003015001	40003015001
n40003015002	40003015002
n40003015003	40003015003
n40003015004	40003015004
n40003015005	40003015005
	40003015006
n40003015006	
n40003015007	40003015008
	40003015007
n40003015008	40003015009
n40003015009	40003015010
n40003015010	40003015011
n40003015011	40003015012
n40003015012	40003015013
n40003015013	40003015014
n40003015014	40003015015
n40003015015	40003015016
n40003015016	40003015017
n40003015017	40003015018
n40003015018	40003015019
n40003015019	40003015020
n40003016001	40003016001
n40003016002	40003016002
n40003016003	40003016003
n40003016004	40003016004
n40003016005	40003016005
n40003016006	40003016006
n40003016007	40003016007
n40003016008	40003016008
n40003016009	40003016009
n40003016010	40003016010
n40003016011	40003016011
n40003016012	40003016012
n40003016013	40003016014
	40003016013
n40003016014	40003016015
n40003016015	40003016016
n40003016016	40003016017
n40003016017	40003016019
n40003016018	40003016021
	40003016018
n40003016019	40003016022
n40003016020	40003016023
	40003016020
n40003016021	40003016024
n40003016022	40003016026
n40003016023	40003016027
n40003016024	40003016028
	40003016025
n40003017001	40003017001
n40003017002	40003017002
n40003017003	40003017003
n40003017004	40003017004
n40003017005	40003017005
n40003017006	40003017006
n40003017007	40003017007
n40003017008	40003017008
n40003017009	40003017009
n40003017010	40003017010
n40003017011	40003017011
n40003017012	40003017012
n40003017013	40003017013
n40003017014	40003017014
n40003017015	40003017015
n40003017016	40003017016
n40003017017	40003017017
n40004001001	40004001001
n40004001002	40004001002
n40004001003	40004001003
n40004001004	40004001004
n40004001005	40004001005
n40004001006	40004001006
n40004001007	40004001007
n40004001008	40004001008
n40004001009	40004001009
n40004001010	40004001010
n40004001011	40004001011
n40004001012	40004001012
n40004001013	40004001013
n40004001014	40004001014
n40004002001	40004002001
n40004002002	40004002002
n40004002003	40004002003
n40004002004	40004002004
n40004002005	40004002005
n40004002006	40004002007
n40004002007	40004002006
n40004002008	40004002008
n40004002009	40004002009
n40004003001	40004003001
n40004003002	40004003002
n40004003003	40004003003
n40004003004	40004003004
n40004003005	40004003005
n40004003006	40004003006
n40004003007	40004003007
n40004003008	40004003008
n40004003009	40004003009
n40004003010	40004003010
n40004003011	40004003011
n40004003012	40004003012
n40004003013	40004003013
n40004003014	40004003014
n40004003015	40004003015
n40004003016	40004003016
n40004003017	40004003017
n40004003018	40004003018
n40004004001	40004004001
