StrongNumber,Lemma,SenseNumber,English,Chinese,Instances,Category,BDAG agreement,LN agreement,Definition,Explanations
"5590","ψυχή",1,"soul",,"590050200110010 400160260120010 420120200110010 400160260210010 470010230100010 580100390120010 450020090060010 420010460060010 400100280210010 420100270190010 410140340070010 400120180140010 580130170120010 400220370190010 600010090080010 410120300160010 600020250150010 400100280110010 430120270030010 520050230170010 400260380070010 580040120190010 420020350060010 660200040140010 610020140090010 660060090120010 440020410150010 440030230040010 400110290220010 600020110150010 600010220020010 580100380140010 640010020130010 600040190140010 590010210180010 460150450100010 420120190060010 470120150090010 440150240130010 580060190060010 420120190040010 440140220030010 440020270050010 440040320090010 610020080130010 490060060160010 440070140140010 600030200200010 440270370050010 430100240120010 580120030160010 660180140080010 440020430040010 510030230050010 660160030180010 660120110210010 440140020090010 500010270260010 650010150080010",1,0,0,,
"1215","δημηγορέω",1,,,"440120210140010",2,0,0,,
"2896","κράζω",3,"out cry",,"400270500050010",2,0,0,,
"2896","κράζω",2,"cry",,"660180020020010 480040060170010",2,0,0,,
"2896","κράζω",1,"cry out",,"400150220100010 660180190090010 440070600050010 660100030100010 660060100020010 440190280070010 430070280010010 400200300130010 660190170100010 430120440030010 400140300100010 410100480110010 660180180020010 430070370140010 440160170070010 440230060150010 400140260190010 410100470090010 420190400110010 400150230180010 410030110120010 440140140160010 400090270100010 440210280010010 430010150060010 660100030020010 450090270030010 660070020140010 590050040150010 660070100020010 660120020060010 450080150150010 660140150080010 410090240020010 410150140130010 400210090100010 400270230110010 400210150160010 440190320060010 410110090070010 410150130040010 440190340150010 440210360070010 440070570010010 410090260020010 400080290030010 420180390120010 400200310110010 410050050150010 410050070020010 420090390080010 440240210070010",2,0,0,,
"4923","συνοδία",1,"caravan",,"420020440070010",1,0,0,,
"1686","ἐμβάπτω",1,"dip",,"410140200090010 400260230060010",2,0,0,,
"0086","ᾅδης",1,"hades",,"400160180200010 400110230090010 420160230040010 420100150100010 440020310120010 440020270080010",1,0,0,,
"4808","σῦκον",1,"fig",,"410110130290010",1,0,0,,
"1165","δειγματίζω",2,"make a display",,"510020150070010",2,0,0,,
"1165","δειγματίζω",1,"disgrace",,"400010190120010",2,0,0,,
"4174","πολιτεία",1,"citizenship",,"490020120100010 440220280090010",1,0,0,,
"5454","φωλεός",1,"hole",,"420090580080010 400080200080010",1,0,0,,
"4627","σκάφη",1,"lifeboat",,"440270300120010 440270320080010 440270160120010",1,0,0,,
"1881","ἐπανίστημι",1,"rise up",,"410130120110010 400100210110010",2,0,0,,
"2471","ἰσότης",2,"fair",,"510040010070010",1,0,0,,
"2471","ἰσότης",1,"equality",,"470080140240010 470080130100010",1,0,0,,
"0578","ἀποβλέπω",1,"pay attention",,"580110260110010",2,0,0,,
"0373","ἀναπαύω",3,"give rest",,"400110280100010",2,0,0,,
"0373","ἀναπαύω",2,"refresh",,"570010200080010 570010070160010 460160180010010 470070130170010",2,0,0,,
"0373","ἀναπαύω",1,"rest",,"660060110110010 410060310130010 600040140180010 660140130230010 400260450130010 410140410120010 420120190140010",2,0,0,,
"4144","πλόος",1,"voyage",,"440270090100010 440270100260010 440210070040010",1,0,0,,
"4783","συγκατάθεσις",1,"agreement",,"470060160030010",1,0,0,,
"1498","εἰμί",2,,,"420090460090010 420150260090010 440100170100010 430130240090010 440080200110010",2,0,0,,
"1498","εἰμί",1,,,"420010290100010 420080090090010 420180360070010 440200160200010 440210330150010 420030150170010 420220230100010",2,0,0,,
"4265","προβλέπω",1,"provide",,"580110400070010",2,0,0,,
"2191","ἔχιδνα",1,"viper",,"400030070160010 400120340020010 440280030130010 400230330030010 420030070100010",1,0,0,,
"2468","εἰμί",2,"remain",,"400020130260010",2,0,0,,
"2468","εἰμί",1,,,"540040150050010 410050340150010 400050250010010 420190170120010",2,0,0,,
"5480","χάραγμα",2,"image",,"440170290140010",1,0,0,,
"5480","χάραγμα",1,"mark",,"660160020250010 660190200220010 660130160240010 660140110310010 660140090220010 660200040410010 660130170140010",1,0,0,,
"2865","κομίζω",4,"bring",,"420070370190010",2,0,0,,
"2865","κομίζω",3,"recompense",,"470050100130010",2,0,0,,
"2865","κομίζω",2,"receive back",,"580110190150010 490060080090010 400250270130010",2,0,0,,
"2865","κομίζω",1,"receive",,"580110390090010 580100360110010 600050040050010 510030250040010 600010090010010",2,0,0,,
"2785","κῆτος",1,"sea monster",,"400120400090010",1,0,0,,
