macula_greek_word_id	sense_number
n66008009013	2
n44027022009	2
n40016025006	2
n40016025016	2
n42012023003	2
n59005020011	1
n40016026012	1
n42012020011	1
n40016026021	1
n47001023010	1
n58010039012	1
n45002009006	1
n42001046006	1
n40010028021	1
n42010027019	1
n41014034007	1
n40012018014	1
n58013017012	1
n40022037019	1
n60001009008	1
n41012030016	1
n60002025015	1
n40010028011	1
n43012027003	1
n52005023017	1
n40026038007	1
n58004012019	1
n42002035006	1
n66020004014	1
n61002014009	1
n66006009012	1
n44002041015	1
n44003023004	1
n40011029022	1
n60002011015	1
n60001022002	1
n58010038014	1
n64001002013	1
n60004019014	1
n59001021018	1
n46015045010	1
n42012019006	1
n47012015009	1
n44015024013	1
n58006019006	1
n42012019004	1
n44014022003	1
n44002027005	1
n44004032009	1
n61002008013	1
n49006006016	1
n44007014014	1
n60003020020	1
n44027037005	1
n43010024012	1
n58012003016	1
n66018014008	1
n44002043004	1
n51003023005	1
n66016003018	1
n66012011021	1
n44014002009	1
n50001027026	1
n65001015008	1
n44012021014	1
n40027050005	3
n66018002002	2
n48004006017	2
n40015022010	1
n66018019009	1
n44007060005	1
n66010003010	1
n66006010002	1
n44019028007	1
n43007028001	1
n40020030013	1
n66019017010	1
n43012044003	1
n40014030010	1
n41010048011	1
n66018018002	1
n43007037014	1
n44016017007	1
n44023006015	1
n40014026019	1
n41010047009	1
n42019040011	1
n40015023018	1
n41003011012	1
n44014014016	1
n40009027010	1
n44021028001	1
n43001015006	1
n66010003002	1
n45009027003	1
n66007002014	1
n59005004015	1
n66007010002	1
n66012002006	1
n45008015015	1
n66014015008	1
n41009024002	1
n41015014013	1
n40021009010	1
n40027023011	1
n40021015016	1
n44019032006	1
n41011009007	1
n41015013004	1
n44019034015	1
n44021036007	1
n44007057001	1
n41009026002	1
n40008029003	1
n42018039012	1
n40020031011	1
n41005005015	1
n41005007002	1
n42009039008	1
n44024021007	1
n42004041007	1
n42002044007	1
n41014020009	1
n40026023006	1
n40016018020	1
n40011023009	1
n42016023004	1
n42010015010	1
n44002031012	1
n44002027008	1
n41011013029	1
n59003012005	1
n40021021020	1
n40021020011	1
n41011021010	1
n43001050014	1
n42013006006	1
n42013007016	1
n40021019035	1
n43001048020	1
n40021019003	1
n40024032004	1
n41013028004	1
n42021029007	1
n41011020006	1
n66006013011	1
n51002015007	2
n40001019012	1
n49002012010	1
n44022028009	1
n42009058008	1
n40008020008	1
n44027030012	1
n44027032008	1
n44027016012	1
n41013012011	1
n40010021011	1
n51004001007	2
n47008014024	1
n47008013010	1
n58011026011	1
n40011028010	3
n57001020008	2
n57001007016	2
n46016018001	2
n47007013017	2
n66006011011	1
n41006031013	1
n60004014018	1
n66014013023	1
n40026045013	1
n41014041012	1
n42012019014	1
n44027009010	1
n44027010026	1
n44021007004	1
n47006016003	1
n42009046009	2
n42015026009	2
n44010017010	2
n43013024009	2
n44008020011	2
n42001029010	1
n42008009009	1
n42018036007	1
n44020016020	1
n44021033015	1
n42003015017	1
n42022023010	1
n58011040007	1
n40003007016	1
n40012034002	1
n44028003013	1
n40023033003	1
n42003007010	1
n40002013026	2
n54004015005	1
n41005034015	1
n40005025001	1
n42019017012	1
n44017029014	2
n66016002025	1
n66019020022	1
n66013016024	1
n66014011031	1
n66014009022	1
n66020004041	1
n66013017014	1
n42007037019	4
n47005010013	3
n58011019015	2
n49006008009	2
n40025027013	2
n58011039009	1
n58010036011	1
n60005004005	1
n51003025004	1
n60001009001	1
n40012040009	1
n47010006007	1
n45005019005	1
n58002002014	1
n44016022002	1
n44024012012	2
n47011028005	1
n46006002020	3
n59003004014	2
n40005019010	1
n42016010013	1
n46015009005	1
n42016010004	1
n40002006007	1
n40025045015	1
n40005019016	1
n40025040019	1
n42019017009	1
n42012026004	1
n46004003004	1
n42003001028	1
n50001020003	2
n45008019003	1
n54004013005	1
n44013015004	1
n47003014016	1
n41009020019	1
n44027040018	1
n48006001004	3
n46011021006	2
n41014008004	1
n40005032023	1
n41010012010	1
n41010011013	1
n40019009017	1
n41001026009	4
n44016028001	3
n42016024003	3
n42023046002	3
n42008008016	3
n44010018002	3
n43018027008	2
n41014072006	2
n41014030019	2
n40026034015	2
n42022060015	2
n42022061022	2
n41014072021	2
n40026074014	2
n42022034008	2
n43013038016	2
n41014068020	2
n40026075012	2
n44010007009	1
n44009041007	1
n41015035009	1
n43011028017	1
n43001048016	1
n41010049006	1
n43010003016	1
n41010049009	1
n41010049016	1
n43012017012	1
n40020032005	1
n43011028006	1
n43004016004	1
n43013013002	1
n40027047010	1
n41009035003	1
n43002009023	1
n66014018015	1
n42019015012	1
n43009024001	1
n43009018015	1
n42014012013	1
n42008054007	1
n43018033010	1
n42016002002	1
n45015001007	1
n66018016018	1
n40023016021	1
n46003012008	1
n40010009003	1
n40023017009	1
n59005003002	1
n66009007019	1
n40002011026	1
n40023017016	1
n44017029009	1
n66006008006	2
n66009004013	1
n66008007033	1
n41006039010	1
n43002010010	21
n46016002008	20
n41015019011	19
n42009044001	18
n44019021005	17
n41004030014	16
n42005018016	15
n47005019017	14
n42019022020	13
n42019021011	13
n46009018010	12
n44027012010	12
n44001007015	11
n46012018005	11
n42001066002	10
n42021014001	10
n43010011014	9
n62003016013	9
n60002006006	8
n46003011006	8
n44009040008	7
n42022041010	7
n44020036004	7
n44021005022	7
n44007060001	7
n43013004006	6
n44009037012	6
n44003002012	6
n42012046028	6
n40024051011	6
n44005004014	6
n54002007003	5
n55001011003	5
n58001002011	5
n43015016010	5
n60002008015	5
n52005009003	5
n46012028004	5
n43010018014	4
n43010018008	4
n62003016022	4
n43010017009	4
n43013037018	4
n43010015014	4
n43015013011	4
n43013038008	4
n42020043003	3
n58001013014	3
n58010013005	3
n45004017007	3
n61002006012	3
n44002035003	3
n44020028014	3
n44013047007	3
n40012018016	2
n45014013011	2
n47003013005	2
n44005018009	2
n44005025011	2
n44004003007	2
n41012036020	2
n46015025007	2
n40022044012	2
n44012004004	2
n42011033006	2
n44013029013	2
n66011009025	2
n42008016011	2
n40005015005	2
n41004021022	2
n41004021012	2
n43019019008	2
n42008016015	2
n54001012015	2
n45009033004	2
n44004037009	1
n44005002019	1
n46003010013	1
n42006048011	1
n41006056016	1
n42014029003	1
n41010016005	1
n66010002010	1
n43011034004	1
n43020013019	1
n43020002030	1
n43020015025	1
n41015046010	1
n42023053007	1
n41006029013	1
n43019041020	1
n40027060002	1
n43019042013	1
n44007016006	1
n41015047012	1
n42023055017	1
n41016006021	1
n44005015010	1
n44004035002	1
n66001017013	1
n44009039011	1
n44020008007	1
n44009037015	1
n44001013006	1
n60004006006	8
n44008025019	7
n58004002004	6
n58004006011	6
n48001009010	5
n48001008009	5
n42007022024	4
n40011005016	4
n47010016005	4
n42002010010	3
n45010015014	3
n42001019021	3
n52003006010	3
n42020001015	2
n42009006007	2
n44008040008	2
n44014007002	2
n42003018007	2
n44016010017	2
n45015020004	2
n48004013008	2
n60001012016	2
n46009016018	2
n46009016003	2
n42004018009	2
n46001017008	2
n46009018008	2
n45001015011	2
n44014015013	2
n44014021001	2
n66010007020	1
n47011007015	1
n49002017003	1
n44005042014	1
n44010036008	1
n44011020019	1
n44013032004	1
n48001008013	1
n48001023011	1
n66014006011	1
n49003008012	1
n46015001008	1
n44015035010	1
n46015002007	1
n44017018034	1
n42004043011	1
n44008035014	1
n44008004006	1
n42016016014	1
n48001011008	1
n48001016008	1
n60001025015	1
n44008012006	1
n42008001015	1
n42009005018	1
n44028005004	1
n43013037009	15
n43016012008	14
n43003027006	13
n41004032016	12
n40016003023	11
n46010021002	10
n41009022017	9
n42001022004	8
n50003021018	7
n44027012016	6
n44027039019	6
n66013017005	5
n44005039007	5
n45008007018	5
n66002002015	4
n43001046007	4
n41006019012	4
n40026061004	3
n40009028017	3
n42011007024	3
n43005030002	3
n40026053005	3
n42014020010	3
n41003026011	2
n41003023009	2
n41003025008	2
n41003024008	2
n40026009001	2
n42020036005	2
